Probability_Total_num	percentile
0.04582235499789979	0.0201
0.04588440180018002	0.0202
0.045936310585858585	0.0203
0.04605255755545555	0.0204
0.04609563644434443	0.0205
0.046157067135913596	0.0206
0.046268548498849885	0.0207
0.04630388392439244	0.0208
0.04631152458945895	0.0209
0.046337460110011	0.021
0.046408837251125115	0.0211
0.04648959816981699	0.0212
0.04651955025522553	0.0213
0.0465603977779778	0.0214
0.04662804112211221	0.0215
0.046725223319431936	0.0216
0.04701493166966696	0.0217
0.047440013089908986	0.0218
0.04772641103690369	0.0219
0.04819062843894391	0.022
0.04848043254235424	0.0221
0.04855029421272128	0.0222
0.048661591091809175	0.0223
0.04891512699329932	0.0224
0.04920738591759176	0.0225
0.04932278174617462	0.0226
0.0494982724620462	0.0227
0.049545264629462946	0.0228
0.04957719494689469	0.0229
