Probability_nonMHC_num	percentile_nonMHC
0.0894466087928793	0.0201
0.08949995329732974	0.0202
0.0896020132929293	0.0203
0.08984178870847084	0.0204
0.09009075678367837	0.0205
0.09017500479247925	0.0206
0.09026173950035002	0.0207
0.09033371358955895	0.0208
0.09038392909030904	0.0209
0.09042910237623762	0.021
0.09050488580138014	0.0211
0.09057584845084508	0.0212
0.09072375606960696	0.0213
0.09083881765676569	0.0214
0.09106752124312431	0.0215
0.09129245289028902	0.0216
0.09139423576057605	0.0217
0.09155206439443944	0.0218
0.09156834665666566	0.0219
0.09157382391389139	0.022
0.09163942831133112	0.0221
0.09178762880988099	0.0222
0.09189342698769877	0.0223
0.09200336909790979	0.0224
0.09212306091109111	0.0225
0.09215039402340233	0.0226
0.09219876585058506	0.0227
0.09228267891589159	0.0228
